TAZ,CPA
4002,201
4003,201
4004,201
4005,201
4006,201
4007,201
4008,201
4009,201
4010,201
4011,201
4012,201
4013,201
4014,201
4015,201
4016,201
4017,201
4018,201
4019,201
4020,201
4021,201
4022,201
4023,201
4024,201
4025,201
4026,201
4027,201
4028,201
4029,201
4030,201
4031,201
4032,201
4033,201
4034,201
4035,201
4036,201
4037,201
4038,201
4039,201
4040,201
4041,201
4042,201
4043,201
4044,201
4045,201
4046,201
4047,201
4048,201
4049,201
4050,201
4051,201
4052,201
4201,202
4202,202
4203,202
4204,202
4205,202
4206,202
4207,202
4208,202
4209,202
4210,202
4211,202
4212,202
4213,202
4214,202
4215,202
4216,202
4217,202
4218,202
4219,202
4220,202
4221,202
4222,202
4223,202
4224,202
4225,202
4226,202
4227,202
4228,202
4229,202
4230,202
4231,202
4232,202
4233,202
4234,202
4235,202
4236,202
4237,202
4238,202
4239,202
4240,202
4241,202
4242,202
4243,202
4244,202
4245,202
4246,202
4247,202
4248,202
4249,202
4250,202
4251,202
4252,202
4253,202
4254,202
4255,202
4256,202
4257,202
4258,202
4259,202
4401,203
4402,203
4403,203
4404,203
4405,203
4406,203
4407,203
4408,203
4409,203
4410,203
4411,203
4412,203
4413,203
4414,203
4415,203
4416,203
4417,203
4418,203
4419,203
4420,203
4421,203
4422,203
4423,203
4424,203
4425,203
4426,203
4427,203
4428,203
4429,203
4430,203
4431,203
4432,203
4433,203
4434,203
4435,203
4436,203
4437,203
4438,203
4439,203
4440,203
4441,203
4442,203
4443,203
4444,203
4445,203
4446,203
4447,203
4448,203
4449,203
4450,203
4451,203
4452,203
4453,203
4454,203
4455,203
4456,203
4457,203
4458,203
4459,203
4460,203
4461,203
4462,203
4463,203
4464,203
4465,203
4466,203
4467,203
4601,204
4602,204
4603,204
4604,204
4605,204
4606,204
4607,204
4608,204
4609,204
4610,204
4611,204
4612,204
4613,204
4614,204
4615,204
4616,204
4617,204
4618,204
4619,204
4620,204
4621,204
4622,204
4623,204
4624,204
4801,205
4802,205
4803,205
4804,205
4805,205
4806,205
4807,205
4808,205
4809,205
4810,205
4811,205
4812,205
4813,205
4814,205
4815,205
4816,205
4817,205
4818,205
4819,205
4820,205
4821,205
4822,205
4823,205
4824,205
4825,205
4826,205
4827,205
4828,205
4829,205
4830,205
4831,205
4832,205
4833,205
5001,206
5002,206
5003,206
5004,206
5005,206
5006,206
5007,206
5008,206
5009,206
5010,206
5011,206
5012,206
5013,206
5014,206
5015,206
5016,206
5017,206
5018,206
5019,206
5020,206
5021,206
5022,206
5023,206
5024,206
5025,206
5026,206
5027,206
5028,206
5029,206
5030,206
5031,206
5032,206
5033,206
5034,206
5035,206
5036,206
5037,206
5038,206
5039,206
5040,206
5041,206
5042,206
5043,206
5044,206
5045,206
5046,206
5047,206
5048,206
5049,206
5050,206
5051,206
5052,206
5053,206
5054,206
5055,206
5056,206
5057,206
5058,206
5059,206
5060,206
5061,206
6001,301
6002,301
6003,301
6004,301
6005,301
6006,301
6007,301
6008,301
6009,301
6010,301
6011,301
6012,301
6013,301
6014,301
6015,301
6016,301
6201,302
6202,302
6203,302
6204,302
6205,302
6206,302
6207,302
6208,302
6209,302
6210,302
6211,302
6212,302
6213,302
6214,302
6215,302
6216,302
6217,302
6218,302
6219,302
6220,302
6221,302
6222,302
6223,302
6224,302
6401,303
6402,303
6403,303
6404,303
6405,303
6406,303
6407,303
6408,303
6409,303
6410,303
6411,303
6412,303
6413,303
6414,303
6415,303
6416,303
6417,303
6418,303
6419,303
6420,303
6421,303
6601,304
6602,304
6603,304
6604,304
6605,304
6606,304
6607,304
6608,304
6609,304
6610,304
6611,304
6612,304
6613,304
6614,304
6615,304
6616,304
6617,304
6618,304
6619,304
6620,304
6621,304
6622,304
6623,304
6624,304
6625,304
6626,304
6627,304
6801,305
6802,305
6803,305
6804,305
6805,305
6806,305
6807,305
6808,305
6809,305
6810,305
6811,305
6812,305
6813,305
6814,305
6815,305
7001,306
7002,306
7003,306
7004,306
7005,306
7006,306
7007,306
7008,306
7009,306
7010,306
7011,306
7012,306
7013,306
7014,306
7015,306
7016,306
7017,306
7018,306
7019,306
7020,306
7021,306
7022,306
7023,306
7024,306
7025,306
7026,306
7027,306
7028,306
7029,306
7030,306
7031,306
7032,306
7033,306
7034,306
7035,306
7036,306
7037,306
7038,306
7039,306
7040,306
7041,306
7042,306
7043,306
7044,306
7045,306
7046,306
7047,306
7048,306
7049,306
7050,306
7051,306
7052,306
7053,306
7054,306
7055,306
7056,306
7057,306
7058,306
7059,306
7201,307
7202,307
7203,307
7204,307
7205,307
7206,307
7207,307
7208,307
7209,307
7210,307
7211,307
7212,307
7213,307
7214,307
7215,307
7216,307
7217,307
7218,307
7219,307
7220,307
7221,307
7222,307
7223,307
7224,307
7225,307
7226,307
7227,307
7228,307
7229,307
7230,307
7231,307
7232,307
7233,307
7234,307
7235,307
7236,307
7237,307
7238,307
7239,307
7240,307
7241,307
7401,308
7402,308
7403,308
7404,308
7405,308
7406,308
7407,308
7408,308
7409,308
7410,308
7411,308
7412,308
7413,308
7414,308
7415,308
7416,308
7417,308
7418,308
7419,308
7420,308
7421,308
7422,308
7423,308
7424,308
7425,308
7426,308
7427,308
7428,308
7429,308
7430,308
7431,308
7432,308
7433,308
7434,308
7435,308
7436,308
7437,308
7438,308
7439,308
7440,308
7601,309
7602,309
7603,309
7604,309
7605,309
7606,309
7607,309
7608,309
7609,309
7610,309
7611,309
7801,310
7802,310
7803,310
7804,310
7805,310
7806,310
7807,310
7808,310
7809,310
7810,310
7811,310
7812,310
7813,310
7814,310
7815,310
7816,310
7817,310
7818,310
7819,310
7820,310
7821,310
7822,310
7823,310
7824,310
7825,310
7826,310
7827,310
7828,310
7829,310
8001,311
8002,311
8003,311
8004,311
8005,311
8006,311
8007,311
8008,311
8009,311
8010,311
8011,311
8012,311
8013,311
8014,311
8015,311
8016,311
8017,311
8018,311
8019,311
8020,311
8021,311
8022,311
8023,311
8024,311
8025,311
8026,311
8027,311
8028,311
8201,312
8202,312
8203,312
8204,312
8205,312
8206,312
8207,312
8208,312
8209,312
8210,312
8211,312
8212,312
8213,312
8214,312
8215,312
8216,312
8217,312
8218,312
8219,312
8401,313
8402,313
8403,313
8404,313
8405,313
8406,313
8407,313
8408,313
8409,313
8410,313
8411,313
8412,313
8413,313
8414,313
8415,313
8416,313
8417,313
8418,313
8419,313
8420,313
8421,313
8422,313
8423,313
8424,313
8425,313
8426,313
8427,313
8428,313
8429,313
8430,313
8431,313
8432,313
8433,313
8434,313
8435,313
8436,313
8437,313
8438,313
8439,313
8440,313
10001,401
10002,401
10003,401
10004,401
10005,401
10006,401
10007,401
10008,401
10009,401
10010,401
10011,401
10012,401
10013,401
10014,401
10015,401
10016,401
10017,401
10018,401
10019,401
10020,401
10021,401
10022,401
10023,401
10024,401
10025,401
10026,401
10027,401
10028,401
10029,401
10030,401
10031,401
10032,401
10033,401
10034,401
10035,401
10036,401
10037,401
10038,401
10039,401
10201,402
10202,402
10203,402
10204,402
10205,402
10206,402
10207,402
10208,402
10209,402
10210,402
10211,402
10212,402
10213,402
10214,402
10215,402
10216,402
10217,402
10218,402
10219,402
10220,402
10221,402
10222,402
10223,402
10224,402
10225,402
10226,402
10227,402
10228,402
10401,403
10402,403
10403,403
10404,403
10405,403
10406,403
10407,403
10408,403
10409,403
10410,403
10411,403
10412,403
10413,403
10414,403
10415,403
10416,403
10417,403
10418,403
10419,403
10420,403
10421,403
10422,403
10423,403
10424,403
10425,403
10426,403
10427,403
10428,403
10429,403
10430,403
10431,403
10432,403
10433,403
10434,403
10435,403
10436,403
10437,403
10438,403
10439,403
10440,403
10441,403
10442,403
10443,403
10444,403
10445,403
10446,403
10447,403
10448,403
10449,403
10601,404
10602,404
10603,404
10604,404
10605,404
10606,404
10607,404
10608,404
10609,404
10610,404
10611,404
10612,404
10613,404
10614,404
10615,404
10616,404
10617,404
10618,404
10619,404
10620,404
10621,404
10622,404
10623,404
10624,404
10625,404
10626,404
10627,404
10628,404
10629,404
10630,404
10801,405
10802,405
10803,405
10804,405
10805,405
10806,405
10807,405
10808,405
10809,405
10810,405
10811,405
10812,405
10813,405
10814,405
10815,405
10816,405
10817,405
10818,405
10819,405
10820,405
10821,405
10822,405
10823,405
11001,406
11002,406
11003,406
11004,406
11005,406
11006,406
11007,406
11008,406
11009,406
11010,406
11011,406
11012,406
11013,406
11014,406
11015,406
11016,406
11017,406
11018,406
11019,406
11020,406
11021,406
11022,406
11023,406
11024,406
11025,406
11026,406
11027,406
11028,406
11029,406
11030,406
11031,406
11032,406
11033,406
11034,406
11035,406
11036,406
11037,406
11038,406
11039,406
11040,406
11041,406
11042,406
11043,406
11201,407
11202,407
11203,407
11204,407
11205,407
11206,407
11207,407
11208,407
11209,407
11210,407
11211,407
11212,407
11401,408
11402,408
11403,408
11404,408
11405,408
11406,408
11407,408
11408,408
11409,408
11410,408
11411,408
11412,408
11413,408
11414,408
11415,408
11416,408
11417,408
11418,408
11419,408
11420,408
11421,408
11422,408
11423,408
11424,408
11425,408
11426,408
11427,408
11428,408
11601,409
11602,409
11603,409
11604,409
11605,409
11606,409
11607,409
11608,409
11609,409
11610,409
11611,409
11612,409
11613,409
11614,409
11615,409
11616,409
11617,409
11618,409
11619,409
11620,409
11621,409
11622,409
11623,409
11624,409
11625,409
11626,409
11627,409
11628,409
11629,409
11630,409
11631,409
11632,409
11633,409
11634,409
11635,409
11636,409
11637,409
11638,409
11639,409
11640,409
11641,409
11642,409
11643,409
11644,409
11645,409
11646,409
11647,409
11648,409
11801,410
11802,410
11803,410
11804,410
11805,410
11806,410
11807,410
11808,410
11809,410
11810,410
11811,410
11812,410
11813,410
11814,410
11815,410
11816,410
11817,410
11818,410
11819,410
11820,410
11821,410
11822,410
11823,410
11824,410
11825,410
11826,410
11827,410
11828,410
11829,410
11830,410
11831,410
11832,410
11833,410
11834,410
11835,410
11836,410
11837,410
11838,410
11839,410
11840,410
11841,410
11842,410
11843,410
11844,410
12001,411
12002,411
12003,411
12004,411
12005,411
12006,411
12007,411
12008,411
12009,411
12010,411
12011,411
12012,411
12013,411
12014,411
12015,411
12016,411
12017,411
12018,411
12019,411
12020,411
12021,411
12022,411
12023,411
12024,411
12025,411
12026,411
12027,411
12028,411
12029,411
12030,411
12031,411
12032,411
12033,411
12034,411
12035,411
12036,411
12201,412
12202,412
12203,412
12204,412
12205,412
12206,412
12207,412
12208,412
12209,412
12210,412
12211,412
12212,412
12213,412
12214,412
12215,412
12216,412
12217,412
12218,412
12219,412
12220,412
12221,412
12222,412
12223,412
12224,412
12225,412
12226,412
12227,412
12228,412
12229,412
12230,412
12231,412
12232,412
12233,412
12234,412
12235,412
12236,412
12237,412
12238,412
12239,412
12240,412
12241,412
12242,412
12243,412
12244,412
12245,412
12246,412
12247,412
12248,412
12249,412
12250,412
12251,412
12252,412
